"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"	"OCLC_Control_Number"
"Attaining the 2030 Sustainable Development Goal of Responsible Consumption and Production"	"9781804558409; 9781804558423; 9781804558430"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63651/1/9781804558409.pdf; https://library.oapen.org/bitstream/20.500.12657/63651/2/9781804558423.epub"	""	"20.500.12657/63651"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by/4.0/; https://creativecommons.org/licenses/by/4.0/"	"Emerald Publishing"	"monograph"	"2023"	"2023-06-21T13:42:34Z"	""	""	"Birdthistle, Naomi"	""	""	"F"	""
"Management and Visualisation : Seeing Beyond the Strategic"	"9781000851281; 9781000851281; 9781032302515; 9781032302522; 9781003304166"	"10.4324/9781003304166"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75978/1/9781000851281.pdf"	"Fletcher, Gordon"	"20.500.12657/75978"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2023-08-31T08:43:37Z"	""	""	""	""	""	"F"	""
"Universities, Stakeholders and Social Mission : Building Cooperation Through Action Research"	"9781003227069; 9781032129662; 9781032129679"	"10.4324/9781003227069"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/58160/1/9781000779479.pdf"	"Bogacz-Wojtanowska, Ewa"	"20.500.12657/58160"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-09-08T08:58:33Z"	""	""	""	""	""	"F"	""
"Cheap Print and Street Literature of the Long Eighteenth Century"	"9781805110415; 9781805110392; 9781805110408; 9781805110422; 9781805110446; 9781805110453"	"10.11647/OBP.0347"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76173/1/9781805110415.pdf"	""	"20.500.12657/76173"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Open Book Publishers"	"monograph"	"2023"	"2023-09-11T12:33:00Z"	""	""	"Atkinson, David"	""	""	"F"	""
"Japanese Tea Culture : The Heart and Form of Chanoyu"	""	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76335/1/external_content.pdf"	"Kumakura, Isao"	"20.500.12657/76335"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	""	"monograph"	"2023"	"2023-09-15T05:31:07Z"	""	""	""	""	""	"F"	""
"Quantitative Models in Life Science Business : From Value Creation to Business Processes"	"9783031118142; 9783031118142"	"10.1007/978-3-031-11814-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60155/1/978-3-031-11814-2.pdf"	""	"20.500.12657/60155"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-12-13T12:35:48Z"	""	""	"Canci, Jung Kyu"	""	""	"F"	""
"Innovation and Regional Technological Convergence : Theory and Evidence"	"9783031245312; 9783031245312"	"10.1007/978-3-031-24531-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61847/1/978-3-031-24531-2.pdf"	"Kijek, Tomasz"	"20.500.12657/61847"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-03-17T15:19:52Z"	""	""	""	""	""	"F"	""
"EU Trade-Related Measures against Illegal Fishing : Policy Diffusion and Effectiveness in Thailand and Australia"	"9781000956061; 9781032283418; 9781032283449; 9781003296379"	"10.4324/9781003296379"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63627/1/9781000956061.pdf"	"Kadfak, Alin"	"20.500.12657/63627"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-06-20T15:03:21Z"	""	""	""	""	""	"F"	""
"Empty Innovation : Causes and Consequences of Society's Obsession with Entrepreneurship and Growth"	"9783031314797; 9783031314797; 9783031314780"	"10.1007/978-3-031-31479-7"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63577/1/978-3-031-31479-7.pdf"	"Hallonsten, Olof"	"20.500.12657/63577"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-06-20T10:29:18Z"	""	""	""	""	""	"F"	""
"Public Innovation and Digital Transformation"	"9781003230854; 9781032137414; 9781032137971"	"10.4324/9781003230854"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/57754/1/9781000686371.pdf"	""	"20.500.12657/57754"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-08-03T10:25:06Z"	""	""	"Väyrynen, Hannele"	""	""	"F"	""
"Higher Education Institutions and Digital Transformation : Building University-Enterprise Collaborative Relationships"	"9781000875836; 9781032425184; 9781032425177; 9781003363132"	"10.4324/9781003363132"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61977/1/9781000875836.pdf"	"Lis, Marcin"	"20.500.12657/61977"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-03-22T08:36:30Z"	""	""	""	""	""	"F"	""
"Business Meets the Humanities : The Human Perspective in University-Industry Collaboration"	"9781003195658; 9781000782189; 9781032050102; 9781032050171"	"10.4324/9781003195658"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59163/1/9781000782189.pdf"	""	"20.500.12657/59163"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-11-04T14:19:50Z"	""	""	"Mahnke, Martina Skrubbeltrang"	""	""	"F"	""
"An Economic Philosophy of Production, Work and Consumption : A Transhistorical Framework"	"9781000654844; 9781000654844; 9781003057017; 9780367522254; 9780367522247"	"10.4324/9781003057017"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/57603/1/9781000654844.pdf"	"Edvinsson, Rodney"	"20.500.12657/57603"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2022-07-22T12:08:05Z"	""	""	""	""	""	"F"	""
"European Investment Bank Group Activity Report 2022 : Secure Europe"	"9789286154331"	"10.2867/75965"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61681/1/20220187_eib_activity_report_2022_en.pdf"	"European Investment Bank"	"20.500.12657/61681"	""	"full text"	"Publication licence: All rights reserved"	"European Investment Bank"	"monograph"	"2023"	"2023-03-10T05:31:07Z"	""	""	""	""	""	"F"	""
"Enhancing Boardroom Diversity in Saudi Arabia"	"9783110741735; 9783110741735; 9783110741612; 9783110741858"	"10.1515/9783110741735"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63499/1/9783110741735.pdf"	"Eskandarany, Abdullah"	"20.500.12657/63499"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0"	"De Gruyter"	"monograph"	"2023"	"2023-06-20T06:30:08Z"	"4"	""	""	""	""	"F"	""
"Sustainable Business : Managing the Challenges of the 21st Century"	"9783031253973; 9783031253973; 9783031253966"	"10.1007/978-3-031-25397-3"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63559/1/978-3-031-25397-3.pdf"	"Fischer, Manuel"	"20.500.12657/63559"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-06-20T10:25:49Z"	""	""	""	""	""	"F"	""
"EIB Global Report 2022/2023 - The story"	"9789286155628; 9789286155550; 9789286155475"	"10.2867/353955"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/74690/1/20230048_eib_global_report_the_story_en.pdf"	"EUROPEAN INVESTMENT BANK"	"20.500.12657/74690"	""	"full text"	"Publication licence: All rights reserved"	"European Investment Bank"	"monograph"	"2023"	"2023-08-01T05:34:29Z"	""	""	""	""	""	"F"	""
"Innovative Priority Mechanisms in Service Operations : Theory and Applications"	"9783031308413; 9783031308413; 9783031308406"	"10.1007/978-3-031-30841-3"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63946/1/978-3-031-30841-3.pdf"	"Cui, Shiliang"	"20.500.12657/63946"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-07-14T15:42:45Z"	""	""	""	""	""	"F"	""
"Game Poems : Videogame Design as Lyric Practice"	"9781943208531; 9781943208524"	"10.3998/mpub.12758495"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63143/1/9781943208531.epub"	"Magnuson, Jordan"	"20.500.12657/63143"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0/"	"Amherst College Press"	"monograph"	"2023"	"2023-05-25T08:37:43Z"	""	""	""	""	""	"F"	""
"YouTube and Music : Online Culture and Everyday Life"	"9781501387296; 9781501387289; 9781501387296"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61935/1/9781501387296.pdf; https://library.oapen.org/bitstream/20.500.12657/61935/2/9781501387289.epub"	""	"20.500.12657/61935"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/; https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Bloomsbury Academic"	"monograph"	"2023"	"2023-03-17T15:22:33Z"	""	""	"Rogers, Holly"	""	""	"F"	""
"Louise Blanchard Bethune : Every Woman Her Own Architect"	"9781438492896; 9781438492872; 9781438492889"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61590/1/9781438492896.epub"	"Hayes McAlonie, Kelly"	"20.500.12657/61590"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"State University of New York Press"	"monograph"	"2023"	"2023-03-01T09:06:29Z"	""	""	""	""	""	"F"	""
"Driving Digital Transformation : Lessons from Seven Developing Countries"	"9780192872845"	"10.1093/oso/9780192872845.001.0001"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62890/1/9780192872845.pdf"	"Ndulu, Benno"	"20.500.12657/62890"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Oxford University Press"	"monograph"	"2023"	"2023-05-02T12:43:28Z"	""	""	""	""	""	"F"	""
"Local Communities and the Mining Industry : Economic Potential and Social and Environmental Responsibilities"	"9781000872903; 9781032022130; 9781003182375; 9781032022154"	"10.4324/9781003182375"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63049/1/9781000872903.pdf"	""	"20.500.12657/63049"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-05-22T13:28:44Z"	""	""	"Brunet, Nicolas D."	""	""	"F"	""
"Pension Funds and Sustainable Investment : Challenges and Opportunities"	"9780192889195"	"10.1093/oso/9780192889195.001.0001"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/64056/1/9780192889195.pdf"	""	"20.500.12657/64056"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Oxford University Press"	"monograph"	"2023"	"2023-07-24T08:41:21Z"	""	""	"Hammond, Brett"	""	""	"F"	""
"Frames that Speak : Cartouches on Early Modern Maps"	"9789004523838; 9789004523838; 9789004505186"	"10.1163/9789004523838"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76094/1/9789004523838.pdf"	"Van Duzer, Chet"	"20.500.12657/76094"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0/"	"Brill"	"monograph"	"2023"	"2023-09-01T13:12:12Z"	""	""	""	""	""	"F"	""
"The Politics of Bad Options : Why the Eurozone's Problems Have Been So Hard to Resolve"	"9780198857013; 9780198857020"	"10.1093/oso/9780198857013.001.0001"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61000/1/9780198857013.pdf"	"Walter, Stefanie"	"20.500.12657/61000"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Oxford University Press"	"monograph"	"2023"	"2023-01-30T10:13:30Z"	""	""	""	""	""	"F"	""
"Algorithmic Gatekeeping for Professional Communicators : Power, Trust, and Legitimacy"	"9781000912777; 9781032450728; 9781003375258; 9781032450711"	"10.4324/9781003375258"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63155/1/9781000912777.pdf"	"van Dalen, Arjen"	"20.500.12657/63155"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-05-25T13:58:50Z"	""	""	""	""	""	"F"	""
"Business Ethics and Critical Consultant Jokes : New Research Methods to Study Ethical Transgressions"	"9783031102011; 9783031102011"	"10.1007/978-3-031-10201-1"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59376/1/978-3-031-10201-1.pdf"	"Bouwmeester, Onno"	"20.500.12657/59376"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-11-18T14:20:46Z"	""	""	""	""	""	"F"	""
"Communication Climate at Work : Fostering Friendly Friction in Organisations"	"9783031289712; 9783031289712; 9783031289705"	"10.1007/978-3-031-28971-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63569/1/978-3-031-28971-2.pdf"	"Kvalnes, Øyvind"	"20.500.12657/63569"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-06-20T10:27:52Z"	""	""	""	""	""	"F"	""
"Perspectives on the Impact, Mission and Purpose of the Business School"	"9781000929775; 9781000929775; 9781032487588; 9781003390633; 9781032487595"	"10.4324/9781003390633"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76017/1/9781000929775.pdf"	""	"20.500.12657/76017"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2023-08-31T08:45:57Z"	""	""	"Cornuel, Eric"	""	""	"F"	""
"Developing Sustainable and Energy-Efficient Software Systems"	"9783031116582; 9783031116582"	"10.1007/978-3-031-11658-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61276/1/978-3-031-11658-2.pdf"	"Kruglov, Artem"	"20.500.12657/61276"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-02-13T17:26:56Z"	""	""	""	""	""	"F"	""
"EIB Global Report 2022/2023 - The impact"	"9789286155635; 9789286155642; 9789286155659"	"10.2867/939060"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/74682/1/20230033_eib_global_report_the_impact_en.pdf"	"EUROPEAN INVESTMENT BANK"	"20.500.12657/74682"	""	"full text"	"Publication licence: All rights reserved"	"European Investment Bank"	"monograph"	"2023"	"2023-08-01T05:32:34Z"	""	""	""	""	""	"F"	""
"EU Cohesion Policy Implementation - Evaluation Challenges and Opportunities : The 1st International Conference on Evaluating Challenges in the Implementation of EU Cohesion Policy (EvEUCoP 2022), Coimbra, 2022"	"9783031181610; 9783031181610"	"10.1007/978-3-031-18161-0"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60176/1/978-3-031-18161-0.pdf"	""	"20.500.12657/60176"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-12-13T12:38:48Z"	""	""	"Henriques, Carla"	""	""	"F"	""
"A Macroeconometric Model for Saudi Arabia : A Case Study on the World’s Largest Oil Exporter"	"9783031122750; 9783031122750"	"10.1007/978-3-031-12275-0"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60812/1/978-3-031-12275-0.pdf"	"Hasanov, Fakhri J."	"20.500.12657/60812"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-01-20T16:54:03Z"	""	""	""	""	""	"F"	""
"The Rise of State Capital : Transforming Markets and International Politics"	"9781788215725; 9781788214377"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61350/1/9781788214377.pdf"	"Babić, Milan"	"20.500.12657/61350"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Agenda Publishing Limited"	"monograph"	"2023"	"2023-02-14T10:58:52Z"	""	""	""	""	""	"F"	""
"Data Privacy and Crowdsourcing : A Comparison of Selected Problems in China, Germany and the United States"	"9783031320644; 9783031320644; 9783031320637"	"10.1007/978-3-031-32064-4"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75388/1/978-3-031-32064-4.pdf"	"Hornuf, Lars"	"20.500.12657/75388"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-08-14T15:55:17Z"	""	""	""	""	""	"F"	""
"Sustainable Development Disciplines for Society : Breaking Down the 5Ps—People, Planet, Prosperity, Peace, and Partnerships"	"9789811951459; 9789811951459"	"10.1007/978-981-19-5145-9"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60188/1/978-981-19-5145-9.pdf"	""	"20.500.12657/60188"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-12-13T12:40:40Z"	""	""	"Urata, Shujiro"	""	""	"F"	""
"The Impossibilities of the Circular Economy : Separating Aspirations from Reality"	"9781003244196; 9781000819540; 9781032154466; 9781032154435"	"10.4324/9781003244196"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59262/1/9781000819540.pdf"	""	"20.500.12657/59262"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-11-16T13:44:10Z"	""	""	"Lehmann, Harry"	""	""	"F"	""
"Managing the Digital University : Paradigms, Leadership, and Organization"	"9781000875911; 9781003366409; 9781032432519; 9781032432472"	"10.4324/9781003366409"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61388/1/9781000875911.pdf"	"Sułkowski, Łukasz"	"20.500.12657/61388"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-02-22T10:55:29Z"	""	""	""	""	""	"F"	""
"Tasks, Skills, and Institutions : The Changing Nature of Work and Inequality"	"9780192872241"	"10.1093/oso/9780192872241.001.0001"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63650/1/9780192872432_WEB.pdf"	""	"20.500.12657/63650"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-sa/4.0/"	"Oxford University Press"	"monograph"	"2023"	"2023-06-21T13:20:20Z"	""	""	"Gradín, Carlos"	""	""	"F"	""
"Human Resources Management in Multinational Companies : A Central European Perspective"	"9781000836172; 9781032412672; 9781032412665; 9781003357087"	"10.4324/9781003357087"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60253/1/9781000836172.pdf"	"Stor, Marzena"	"20.500.12657/60253"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-12-15T14:17:18Z"	""	""	""	""	""	"F"	""
"Histories of Tax Evasion, Avoidance and Resistance"	"9781003333197; 9781032366739; 9781032366746; 9781000823882"	"10.4324/9781003333197"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59777/1/9781000823882.pdf"	""	"20.500.12657/59777"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-sa/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-11-29T12:44:25Z"	"36"	""	"Schönhärl, Korinna"	""	""	"F"	""
"The Imperial Underbelly : Workers, Contractors, and Entrepreneurs in Colonial India and Scandinavia"	"9781003317227; 9781000804966; 9781032320922; 9781032328928"	"10.4324/9781003317227"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59033/1/9781000804966.pdf"	""	"20.500.12657/59033"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-10-24T14:06:08Z"	""	""	"Cederlöf, Gunnel"	""	""	"F"	""
"Tourism, Knowledge and Learning"	"9781003293316; 9781032274881; 9781032275642; 9781000781212"	"10.4324/9781003293316"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/58416/1/9781000781212.pdf"	""	"20.500.12657/58416"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-09-16T08:40:58Z"	""	""	"Jernsand, Eva Maria"	""	""	"F"	""
"Humanitarian Journalists : Covering Crises from a Boundary Zone"	"9781000857603; 9781032407678; 9781032412078; 9781003356806"	"10.4324/9781003356806"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60521/1/9781000857603.pdf"	"Scott, Martin"	"20.500.12657/60521"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-01-05T12:32:07Z"	""	""	""	""	""	"F"	""
"The Case Against Intervention"	"9781776425648; 9781776425631; 9781776425655; 9781776425662"	"10.36615/9781776425648"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61676/1/document.pdf"	"Quah, Chee Heong"	"20.500.12657/61676"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0/"	"UJ Press"	"monograph"	"2023"	"2023-03-09T13:06:40Z"	""	""	""	""	""	"F"	""
