"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"	"OCLC_Control_Number"
"Imagining the Other: Mimetic Theory, Migration, Exclusionary Politics, and the Ambiguous Other"	"9783991061007"	"10.15203/99106-100-7"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/74693/1/10.15203-99106-100-7.pdf"	""	"20.500.12657/74693"	""	"full text"	"Publication licence: All rights reserved"	"innsbruck university press"	"monograph"	"2023"	"2023-08-01T09:58:35Z"	""	""	"Regensburger, Dietmar"	""	""	"F"	""
"The Summa Halensis : Doctrines and Debates"	"9783110685008"	"10.1515/9783110685008"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/41226/1/9783110685008.pdf"	""	"20.500.12657/41226"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"De Gruyter"	"monograph"	"2020"	"2020-08-06T14:30:52Z"	"66"	""	"Schumacher, Lydia"	""	""	"F"	""
"Mesopotamian Eye Disease Texts : The Nineveh Treatise"	"9781501506550"	"10.1515/9781501506550"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/46649/1/9781501506550.pdf"	"Geller, Markham J."	"20.500.12657/46649"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0"	"De Gruyter"	"monograph"	"2020"	"2021-02-11T17:43:48Z"	"Band 10"	""	""	""	""	"F"	""
"Early Thirteenth-Century English Franciscan Thought"	"9783110684834; 9783110684834; 9783110682403; 9783110684872"	"10.1515/9783110684834"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/52319/1/9783110684834.pdf"	""	"20.500.12657/52319"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"De Gruyter"	"monograph"	"2021"	"2022-01-11T08:52:18Z"	"68"	""	"Schumacher, Lydia"	""	""	"F"	""
"The Diversity Of Worldviews Among Young Adults : Contemporary (Non)Religiosity And Spirituality Through The Lens Of An International Mixed Method Study"	"9783030946913; 9783030946913"	"10.1007/978-3-030-94691-3"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/57304/1/978-3-030-94691-3.pdf"	""	"20.500.12657/57304"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2022"	"2022-07-13T12:26:42Z"	""	""	"Nynäs, Peter"	""	""	"F"	""
"Paul on the Human Vocation : Reason Language in Romans and Ancient Philosophical Tradition"	"9783110750560; 9783110750560; 9783110750539; 9783110750638"	"10.1515/9783110750560"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/52238/1/9783110750560.pdf"	"Dürr, Simon"	"20.500.12657/52238"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"De Gruyter"	"monograph"	"2021"	"2022-01-11T08:50:43Z"	"226"	""	""	""	""	"F"	""
"Invisible Manuscripts : Textual Scholarship and the Survival of 2 Baruch"	"9783161606731"	"https://doi.org/10.1628/978-3-16-160673-1"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/52215/1/external_content.pdf"	"Lied, Liv Ingeborg"	"20.500.12657/52215"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	""	"monograph"	"2021"	"2022-01-06T05:31:21Z"	""	""	""	""	""	"F"	""
"Das Bild der Schweiz bei den Papstgesandten (1586-1654) : Die Ständige Nuntiatur in Luzern. Mit einer Dokumentation von Instruktionen und Berichten aus dem Geheimarchiv des Vatikans"	"9783110718270; 9783110718270; 9783110690576; 9783110718317"	"10.1515/9783110718270"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/51850/1/9783110718270.pdf"	"Galgano, Mario"	"20.500.12657/51850"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by/4.0/"	"De Gruyter"	"monograph"	"2021"	"2021-12-09T10:08:19Z"	"48"	""	""	""	""	"F"	""
"On the Way to the (Un)Known? : The Ottoman Empire in Travelogues (c. 1450-1900)"	"9783110698046; 9783110698046; 9783110697605; 9783110698121"	"10.1515/9783110698046"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59452/1/9783110698046.pdf"	""	"20.500.12657/59452"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"De Gruyter"	"monograph"	"2022"	"2022-11-21T16:32:44Z"	"36"	""	"Gruber, Doris"	""	""	"F"	""
"When Children Draw Gods : A Multicultural and Interdisciplinary Approach to Children's Representations of Supernatural Agents"	"9783030944292; 9783030944292"	"10.1007/978-3-030-94429-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60777/1/978-3-030-94429-2.pdf"	""	"20.500.12657/60777"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-01-20T16:53:10Z"	"12"	""	"Brandt, Pierre-Yves"	""	""	"F"	""
"The Syntax of Colophons : A Comparative Study across Pothi Manuscripts"	"9783110795271; 9783110795271; 9783110795233; 9783110795325"	"10.1515/9783110795271"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61037/1/9783110795271.pdf"	""	"20.500.12657/61037"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"De Gruyter"	"monograph"	"2022"	"2023-01-30T17:06:52Z"	"27"	""	"Balbir, Nalini"	""	""	"F"	""
"Accelerating Human Evolution by Theosophical Initiation : Annie Besant’s Pedagogy and the Creation of Benares Hindu University"	"9783110794694; 9783110794694; 9783110794564; 9783110794793"	"10.1515/9783110794694"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61018/1/9783110794694.pdf"	"Mühlematter, Yves"	"20.500.12657/61018"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"De Gruyter"	"monograph"	"2022"	"2023-01-30T17:06:22Z"	"6"	""	""	""	""	"F"	""
"The Summa Halensis : Sources and Context"	"9783110685022; 9783110685022"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/40140/1/9783110685022.pdf"	""	"20.500.12657/40140"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"De Gruyter"	"monograph"	"2020"	"2020-07-28T18:59:59Z"	"65"	""	"Schumacher, Lydia"	""	""	"F"	""
"Religiöse Tradition in Bewegung : Zur Hermeneutik des Zweiten Vatikanischen Konzils im jüdisch-christlichen Dialog"	"9783839466377; 9783839466377; 9783837666373"	"10.1515/9783839466377"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63175/1/9783839466377.pdf"	"Höftberger, Elisabeth"	"20.500.12657/63175"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nd/4.0/"	"transcript Verlag"	"monograph"	"2023"	"2023-05-25T15:09:39Z"	"34"	""	""	""	""	"F"	""
"(Re)presenting Brunei Darussalam : A Sociology of the Everyday"	"9789811960598; 9789811960598; 9789811960581"	"10.1007/978-981-19-6059-8"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62436/1/978-981-19-6059-8.pdf"	""	"20.500.12657/62436"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-04-13T14:05:12Z"	"20"	""	"Kwen Fee, Lian"	""	""	"F"	""
"Archaeology of Mind in the Hebrew Bible / Archäologie alttestamentlichen Denkens"	"9783110742428; 9783110742428; 9783110742183; 9783110742596"	"10.1515/9783110742428"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63842/1/9783110742428.pdf"	""	"20.500.12657/63842"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"De Gruyter"	"monograph"	"2023"	"2023-07-06T13:06:15Z"	""	""	"van Oorschot, Jürgen"	""	""	"F"	""
"Three Early Mahāyāna Treatises from Gandhāra : Bajaur Kharoṣṭhī Fragments 4, 6, and 11"	"9780295750750; 9780295750750; 9780295750750; 9780295750736"	"10.6069/9780295750750"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75824/1/9780295750750.pdf; https://library.oapen.org/bitstream/20.500.12657/75824/8/9780295750750.epub"	"Schlosser, Andrea"	"20.500.12657/75824"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0; https://creativecommons.org/licenses/by-nc-nd/4.0/"	"University of Washington Press"	"monograph"	"2022"	"2023-08-28T08:11:23Z"	""	""	""	""	""	"F"	""
"Annäherungen an das Unaussprechliche : Ästhetische Erfahrung in kollektiven religiösen Praktiken"	"9783839447253; 9783837647259"	"10.14361/9783839447253"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/23436/1/9783839447253.pdf"	""	"20.500.12657/23436"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0/"	""	"monograph"	"2020"	"2020-04-01T09:15:07Z"	"14"	""	"Schwaderer, Isabella"	""	""	"F"	""
"Cow Care in Hindu Animal Ethics"	"9783030284084"	"10.1007/978-3-030-28408-4"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/22832/1/1007330.pdf"	"Valpey, Kenneth R."	"20.500.12657/22832"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by/4.0"	"Springer Nature"	"monograph"	"2020"	"2020-04-01T08:53:12Z"	""	""	""	""	""	"F"	""
"The Tiberian Pronunciation Tradition of Biblical Hebrew : Volume 2"	"9781783748594; 9781783748570; 9781783748587"	"10.11647/OBP.0194"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/22421/1/9781783748594.pdf"	"Khan, Geoffrey"	"20.500.12657/22421"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Open Book Publishers"	"monograph"	"2020"	"2020-04-01T06:50:24Z"	""	""	""	""	""	"F"	""
"Pragmatic Realism, Religious Truth, and Antitheodicy : On Viewing the World by Acknowledging the Other"	"9789523690059; 9789523690042; 9789523690066; 9789523690073"	"10.33134/HUP-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/22393/1/pragmatic-realism-religious-truth-and-antitheodicy.pdf"	"Pihlström, Sami"	"20.500.12657/22393"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Helsinki University Press"	"monograph"	"2020"	"2020-04-01T06:49:57Z"	""	""	""	""	""	"F"	""
"Critical Perspectives on Interreligious Education : Experiments in Empathy"	"9789004420045"	"10.1163/9789004420045"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/38115/1/9789004420045_webready_content_text.pdf"	"Syeed, Najeeba"	"20.500.12657/38115"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Brill"	"monograph"	"2020"	"2020-05-15T20:05:24Z"	"63"	""	""	""	""	"F"	""
